Set 1: 4, 20, 21, 24, 25, 32, 34, 36, 46, 53
Set 2: 4, 7, 8, 27, 34, 36, 41, 44, 46, 53
Set 3: 4, 5, 10, 17, 23, 24, 35, 41, 48, 55
Set 4: 12, 16, 24, 27, 28, 30, 43, 48, 50, 58
Set 5: 9, 10, 11, 16, 23, 29, 32, 51, 57, 58
Set 6: 3, 4, 24, 31, 44, 46, 49, 50, 55, 57
Set 7: 0, 13, 15, 28, 30, 38, 42, 49, 55, 56
Set 8: 13, 15, 16, 21, 22, 25, 31, 32, 43, 57
Set 9: 14, 17, 24, 26, 29, 39, 40, 41, 51, 59
Set 10: 1, 2, 13, 26, 28, 31, 33, 38, 54, 55
Set 11: 0, 2, 4, 6, 7, 12, 32, 43, 47, 50
Set 12: 3, 5, 13, 18, 24, 33, 34, 38, 40, 44
Set 13: 9, 15, 18, 27, 30, 34, 36, 40, 52, 58
Set 14: 3, 7, 10, 11, 14, 15, 23, 33, 37, 45
Set 15: 7, 9, 10, 11, 18, 22, 45, 47, 48, 50
Set 16: 1, 6, 12, 22, 23, 28, 43, 49, 54, 56
Set 17: 9, 17, 18, 25, 26, 27, 36, 49, 51, 59
Set 18: 3, 11, 14, 15, 16, 17, 20, 37, 46, 48
Set 19: 2, 20, 22, 23, 38, 47, 52, 53, 56, 58
Set 20: 10, 12, 14, 16, 29, 30, 36, 46, 47, 58
Set 21: 16, 25, 26, 29, 33, 44, 46, 48, 54, 56
Set 22: 4, 7, 12, 20, 26, 39, 44, 47, 48, 51
Set 23: 1, 2, 5, 12, 16, 24, 33, 35, 41, 57
Set 24: 5, 7, 25, 28, 29, 37, 42, 46, 55, 57
Set 25: 0, 1, 3, 5, 16, 18, 26, 38, 53, 59
Set 26: 9, 12, 13, 28, 41, 42, 45, 56, 57, 58
Set 27: 1, 5, 13, 16, 20, 25, 39, 46, 47, 54
Set 28: 1, 11, 14, 42, 43, 44, 46, 55, 56, 59
Set 29: 4, 8, 10, 18, 35, 42, 45, 51, 52, 55
Set 30: 14, 18, 24, 30, 35, 38, 40, 43, 44, 57
Set 31: 4, 11, 15, 18, 28, 35, 53, 54, 55, 58
Set 32: 2, 10, 24, 28, 37, 44, 45, 47, 49, 51
Set 33: 0, 10, 15, 21, 27, 31, 41, 45, 46, 47
Set 34: 2, 3, 16, 26, 30, 31, 32, 46, 55, 56
Set 35: 2, 7, 14, 18, 20, 31, 38, 43, 44, 45
Set 36: 6, 9, 15, 19, 38, 43, 47, 49, 52, 56
Set 37: 3, 9, 19, 22, 27, 29, 32, 36, 42, 49
Set 38: 7, 10, 12, 15, 16, 24, 34, 44, 49, 55
Set 39: 4, 6, 7, 31, 34, 41, 43, 44, 49, 59
Set 40: 3, 7, 21, 22, 26, 42, 45, 51, 56, 59
Set 41: 2, 8, 10, 13, 24, 26, 32, 36, 49, 53
Set 42: 0, 1, 4, 9, 21, 22, 24, 28, 33, 40
Set 43: 1, 4, 7, 9, 10, 14, 31, 36, 44, 47
Set 44: 0, 3, 4, 14, 19, 26, 37, 47, 50, 59
Set 45: 6, 11, 14, 26, 33, 36, 41, 49, 50, 53
Set 46: 3, 5, 8, 16, 25, 31, 35, 42, 45, 51
Set 47: 4, 23, 25, 29, 38, 42, 44, 49, 51, 59
Set 48: 1, 8, 14, 15, 28, 33, 36, 47, 48, 53
Set 49: 12, 16, 23, 24, 26, 27, 29, 41, 53, 54
Set 50: 13, 15, 20, 29, 32, 33, 39, 40, 46, 48
Set 51: 8, 11, 15, 17, 20, 23, 26, 29, 50, 52
Set 52: 0, 2, 21, 24, 27, 28, 29, 42, 47, 51
Set 53: 3, 5, 21, 31, 32, 34, 39, 49, 54, 57
Set 54: 1, 11, 30, 31, 34, 39, 43, 48, 52, 56
Set 55: 5, 6, 9, 12, 16, 28, 29, 42, 48, 57
Set 56: 0, 5, 9, 25, 27, 40, 50, 52, 55, 57
Set 57: 9, 15, 24, 28, 37, 40, 47, 50, 51, 55
Set 58: 0, 1, 11, 12, 26, 33, 34, 45, 47, 51
Set 59: 16, 17, 18, 21, 24, 25, 31, 36, 50, 59
Set 60: 10, 16, 17, 29, 30, 32, 39, 42, 51, 54
